Brasil
9.95936E+11
1.04465E+12
1.06347E+12
1.13957E+12
1.2259E+12
1.30674E+12
1.35997E+12
1.43021E+12
1.45062E+12
1.47973E+12
1.57564E+12
1.63827E+12
1.7142E+12
1.76832E+12
1.92162E+12
2.04696E+12
2.19341E+12
2.38852E+12
2.55942E+12
2.57561E+12
2.80334E+12
2.9731E+12
3.08445E+12
3.22479E+12
3.27523E+12
