México
111.81369
110.74988
109.98854
109.91904
109.82095
109.54073
109.44814
108.78975
107.94125
106.98181
106.50814
106.2462
105.7671
105.55591
105.13493
104.10282
103.01894
101.7455
101.63245
101.85312
102.90728
103.40654
104.03604
104.65144
104.32491

